seller-sku	fulfillment-channel-sku	asin	condition-type	Warehouse-Condition-code	Quantity Available
YH--BYN6AA010A34	B01LZSEEDH	B01LZSEEDH	NewItem	SELLABLE	5
YH-BYN6AC026CN5	B01M1S5OQB	B01M1S5OQB	NewItem	SELLABLE	19
YH-BYN6AW015RW4	B01LYR3Z5R	B01LYR3Z5R	NewItem	SELLABLE	60
YH-BYN6AW018N03	B01M09AYEF	B01M09AYEF	NewItem	SELLABLE	8
YH-BYN6AW018N03	B01M09AYEF	B01M09AYEF	NewItem	UNSELLABLE	2
YH-BYN7SC001BN7	B01N4QOGRH	B01N4QOGRH	NewItem	SELLABLE	0
YH-BY4834MHUO1K	B01N63H3M0	B01N63H3M0	NewItem	SELLABLE	0
YH-BY4834K3X7E0	B01M0TFFHZ	B01M0TFFHZ	NewItem	SELLABLE	1
YH-BYN6AC027W04	B01LXY57B4	B01LXY57B4	NewItem	SELLABLE	11
YH-BYN6AC027W04	B01LXY57B4	B01LXY57B4	NewItem	UNSELLABLE	1
YH-BY4834U5Y7Z7	B01M0XQS2Z	B01M0XQS2Z	NewItem	SELLABLE	13
YH-BYN6AA018AO3	B01MTJVP9B	B01MTJVP9B	NewItem	SELLABLE	23
YH-BYN7SC002AN5	B01N6LTA1Q	B01N6LTA1Q	NewItem	SELLABLE	8
YH-BYN6AA003NW6	B01N2XMLOW	B01N2XMLOW	NewItem	SELLABLE	30
YH-BYN6AS019W05	B01N0AIKAP	B01N0AIKAP	NewItem	SELLABLE	33
YH-BY4834D79SAD	B01MG8TRCX	B01MG8TRCX	NewItem	SELLABLE	19
YH-BY4834Z7MIO7	B01LATU1Y4	B01LATU1Y4	NewItem	SELLABLE	15
YH-BYN6AW018B32	B01M1JT4WU	B01M1JT4WU	NewItem	SELLABLE	6
YH-BYN6AW018B32	B01M1JT4WU	B01M1JT4WU	NewItem	UNSELLABLE	2
YH-BY48344444P7	B01N63O26K	B01N63O26K	NewItem	SELLABLE	0
YH-BYN7SC010A18	B01N35ISXW	B01N35ISXW	NewItem	SELLABLE	0
